1 0.68925 0.702  0.718
2	1.04275 0.883 0.821
4	0.88775 0.908 1.027
8	1	1.023 0.934 1.088
16	1.36525 0.918 0.6584
32	1.69325 1.258 1.2885
64	1.2885 1.267 1.161
128	1.19475 1.134 1.155
256	1.279 1.031 1.09
512	1.41075 1.378 1.409
1024	3.261666667 1.868 2.736
